City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
198,Gushikawa,JP,76.62,broken clouds,26.3544,127.8686,Kirari Guest House
201,Kabalo,CD,78.31,broken clouds,-6.05,26.9167,
202,Puerto Madero,MX,91.6,scattered clouds,14.7208,-92.4215,Hotel La Central
203,Bojnurd,IR,76.95,clear sky,37.4747,57.32899999999999,Homag Commercial & Social Complex
205,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
207,Caravelas,BR,82.04,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
208,Taunggyi,MM,74.66,overcast clouds,20.7833,97.0333,True Treasure Hotel
217,Tambopata,PE,87.69,scattered clouds,-12.7333,-69.1833,
219,Saint-Pierre,RE,71.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
221,Ituporanga,BR,75.0,overcast clouds,-27.4144,-49.6025,Hotel Jacaré
223,Maragogi,BR,80.94,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
225,Balaipungut,ID,77.41,scattered clouds,1.05,101.2833,
227,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
229,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
230,Bayji,IQ,93.2,clear sky,34.9311,43.486999999999995,قريه جديده
235,Faya,SA,73.51,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
236,West Wendover,US,72.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
242,Panama City,PA,90.43,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
244,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
245,Cascais,PT,80.46,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
247,Sakakah,SA,94.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
249,Campo Maior,BR,87.01,broken clouds,-4.8278,-42.1686,Elite Hotel
253,Qui Nhon,VN,81.01,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
254,Tucuma,BR,82.67,moderate rain,-0.1833,-50.05,
255,Guerrero,MX,84.83,broken clouds,17.6667,-100.0,Villaxochilt
260,Matara,LK,80.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
262,Fremont,US,74.19,scattered clouds,37.5483,-121.9886,All Suites Islander Motels
269,Aljezur,PT,71.1,broken clouds,37.3191,-8.8033,Amazigh Hostel
274,Lamu,KE,78.39,clear sky,-2.2717,40.902,Lamu House
277,Jand,PK,94.05,scattered clouds,33.4299,72.0193,Mohalla Takia
279,Takoradi,GH,83.57,broken clouds,4.8845,-1.7554,Raybow International Hotel
284,Meadow Lake,US,80.62,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
285,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
289,Lethem,GY,83.23,overcast clouds,3.3803,-59.7968,Savannah Inn
291,Lucapa,AO,73.63,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
292,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
295,Tres Palos,MX,84.81,overcast clouds,18.1833,-101.6167,
296,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
298,Faanui,PF,79.95,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Catuday,PH,83.28,scattered clouds,16.2923,119.8062,GResort
301,Bodden Town,KY,86.0,broken clouds,19.2833,-81.25,Will T Place
303,Mehran,IR,92.68,clear sky,33.1222,46.1646,بوتیک زنانه بهار
304,Palauig,PH,83.03,broken clouds,15.435,119.9045,Myhousebythesea
306,Sur,OM,88.29,clear sky,22.5667,59.5289,Sur Plaza Hotel
307,Carmen,MX,86.04,scattered clouds,18.6333,-91.8333,Hotel Lossandes
312,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
319,San Policarpo,PH,81.68,overcast clouds,12.1791,125.5072,JM Lodge
322,Isangel,VU,70.09,broken clouds,-19.55,169.2667,Tanna Lodge
325,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
328,Kathu,TH,83.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
329,Abengourou,CI,88.12,scattered clouds,6.7297,-3.4964,Hotel des Princes
330,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
331,Villa Del Rosario,CO,86.38,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
332,Stephenville,US,72.19,moderate rain,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
