City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Belmonte,BR,-15.8631,-38.8828,82.9,64,26,7.72,scattered clouds
80,Argir,FO,61.9959,-6.7715,49.17,83,94,10.67,overcast clouds
81,Conakry,GN,9.538,-13.6773,84.27,74,75,11.5,broken clouds
82,Potiskum,NG,11.7091,11.0694,99.3,18,50,3.94,scattered clouds
83,Maraa,BR,-1.8333,-65.3667,80.15,91,85,2.46,overcast clouds
84,Nara,JP,34.6851,135.8049,69.08,77,100,3.13,overcast clouds
85,Linjiang,CN,41.8069,126.9078,49.57,98,100,3.38,light rain
86,Longyearbyen,SJ,78.2186,15.6401,33.64,55,0,13.8,clear sky
87,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,45,3.58,scattered clouds
88,Torbay,CA,47.6666,-52.7314,54.75,53,40,23.02,scattered clouds
89,Hasaki,JP,35.7333,140.8333,68.29,84,100,22.77,light rain
90,Mungwi,ZM,-10.1732,31.3694,60.93,46,0,3.11,clear sky
91,Cidreira,BR,-30.1811,-50.2056,63.14,95,100,8.5,heavy intensity rain
92,Nizhniy Odes,RU,63.6445,54.856,47.91,68,76,8.19,broken clouds
93,Scranton,US,41.409,-75.6624,65.23,64,90,3.0,overcast clouds
94,Ust-Kan,RU,50.9276,84.761,42.22,93,0,3.67,clear sky
95,Georgetown,MY,5.4112,100.3354,81.9,90,20,3.44,few clouds
96,Cam Ranh,VN,11.9214,109.1591,82.36,83,20,6.33,few clouds
97,Kolyvan,RU,55.3053,82.7391,49.62,73,89,6.26,overcast clouds
98,Elat,IL,29.5581,34.9482,98.44,9,0,11.5,clear sky
99,Denpasar,ID,-8.65,115.2167,80.26,89,20,7.81,few clouds
100,Saquarema,BR,-22.92,-42.5103,86.14,66,44,9.13,scattered clouds
101,Ostrovnoy,RU,68.0531,39.5131,37.18,71,85,18.39,overcast clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,59,98,3.8,overcast clouds
103,Aklavik,CA,68.2191,-135.0107,30.92,86,90,10.36,overcast clouds
104,New Norfolk,AU,-42.7826,147.0587,47.7,67,19,1.99,few clouds
105,Naze,JP,28.3667,129.4833,71.37,88,100,13.78,overcast clouds
106,Bardiyah,LY,31.7561,25.0865,74.16,55,22,15.75,few clouds
107,Walvis Bay,NA,-22.9575,14.5053,65.35,59,10,19.08,clear sky
108,Taltal,CL,-25.4,-70.4833,65.93,74,31,5.5,scattered clouds
109,Port Alfred,ZA,-33.5906,26.891,64.08,74,0,18.77,clear sky
110,Viedma,AR,-40.8135,-62.9967,52.38,59,100,22.44,overcast clouds
111,Kurchum,KZ,48.5722,83.6542,56.01,56,0,8.7,clear sky
