City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Oneonta,US,2021-05-27 16:02:45,42.4529,-75.0638,67.03,65,88,1.01
68,Lata,PT,2021-05-27 16:02:45,40.1629,-8.3327,83.71,49,100,7.36
69,Opuwo,NA,2021-05-27 16:02:46,-18.0607,13.84,76.68,22,0,7.99
70,Kalianget,ID,2021-05-27 16:02:46,-7.05,113.9333,81.77,81,17,12.17
71,Narsaq,GL,2021-05-27 16:02:46,60.9167,-46.05,57.42,50,0,3.06
72,Auray,FR,2021-05-27 16:02:47,47.6703,-2.9918,65.48,63,98,2.46
73,Avarua,CK,2021-05-27 16:02:47,-21.2078,-159.775,80.65,89,75,10.36
74,Karratha,AU,2021-05-27 16:02:47,-20.7377,116.8463,75.24,73,98,0.43
75,Saint-Philippe,RE,2021-05-27 16:02:48,-21.3585,55.7679,74.79,80,55,5.97
76,Yelizovo,RU,2021-05-27 16:02:48,53.1873,158.3805,40.55,87,89,5.48
77,East London,ZA,2021-05-27 16:02:48,-33.0153,27.9116,71.01,61,100,7.25
78,Erenhot,CN,2021-05-27 16:02:49,43.6475,111.9767,51.39,43,2,11.14
79,Parry Sound,CA,2021-05-27 16:02:49,45.3501,-80.033,50.86,37,81,8.08
80,Leningradskiy,RU,2021-05-27 16:02:49,69.3833,178.4167,25.38,93,29,7.25
81,Khatanga,RU,2021-05-27 16:02:50,71.9667,102.5,19.6,93,70,6.04
82,Cape Town,ZA,2021-05-27 16:02:50,-33.9258,18.4232,62.35,76,87,1.99
83,Mackay,AU,2021-05-27 16:02:50,-21.15,149.2,61.05,57,4,15.59
84,Ossora,RU,2021-05-27 16:02:51,59.2353,163.0719,36.55,93,100,3.09
85,Voh,NC,2021-05-27 16:02:51,-20.9667,164.7,64.02,83,70,3.0
86,Fortuna,US,2021-05-27 16:02:51,40.5982,-124.1573,58.66,73,20,4.0
87,Carauari,BR,2021-05-27 16:02:52,-4.8828,-66.8958,92.17,49,14,0.92
88,Gurupi,BR,2021-05-27 16:02:52,-11.7292,-49.0686,93.6,21,2,7.16
89,Tasiilaq,GL,2021-05-27 16:02:52,65.6145,-37.6368,40.55,86,100,14.94
90,Ilhabela,BR,2021-05-27 16:02:02,-23.7781,-45.3581,74.75,59,21,5.64
